class_id,cub_label,common_name,scientific_name_requested,match_note,mapped,Species2,Family2,Order2,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
1,Black_footed_Albatross,Black footed Albatross,Phoebastria nigripes,eBird common-name exact match after punctuation and possessive normalization,True,Phoebastria nigripes,Diomedeidae,Procellariiformes,AVIBASE-EE8ECB1D,5.0,3.0,2.0,0.0,4.0,101.2,67.8,23.8,30.8,87.4,476.0,313.2,171.2,64.7,136.0,3188.4,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aquatic
2,Laysan_Albatross,Laysan Albatross,Phoebastria immutabilis,eBird common-name exact match after punctuation and possessive normalization,True,Phoebastria immutabilis,Diomedeidae,Procellariiformes,AVIBASE-98FB6D4B,5.0,2.0,3.0,0.0,2.0,108.0,74.6,20.7,28.2,82.6,474.4,313.0,159.5,66.2,147.2,3145.9,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aquatic
3,Sooty_Albatross,Sooty Albatross,Phoebetria fusca,eBird common-name exact match after punctuation and possessive normalization,True,Phoebetria fusca,Diomedeidae,Procellariiformes,AVIBASE-4976BF1D,4.0,1.0,3.0,0.0,4.0,108.9,71.4,17.6,29.8,76.2,510.2,348.5,161.8,68.3,268.8,2553.7,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aquatic
4,Groove_billed_Ani,Groove billed Ani,Crotophaga sulcirostris,eBird common-name exact match after punctuation and possessive normalization,True,Crotophaga sulcirostris,Cuculidae,Cuculiformes,AVIBASE-C5B34740,15.0,5.0,4.0,6.0,4.0,26.9,17.7,9.5,16.5,33.8,129.3,24.8,103.0,19.3,162.7,82.0,Dunning,,NO,,,Human Modified,3.0,1.0,Carnivore,Invertivore,Terrestrial
5,Crested_Auklet,Crested Auklet,Aethia cristatella,eBird common-name exact match after punctuation and possessive normalization,True,Aethia cristatella,Alcidae,Charadriiformes,AVIBASE-3DC4EBB8,5.0,2.0,3.0,0.0,4.0,21.1,7.1,6.1,10.9,27.4,139.4,61.0,77.2,44.1,38.0,259.4,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic
6,Least_Auklet,Least Auklet,Aethia pusilla,eBird common-name exact match after punctuation and possessive normalization,True,Aethia pusilla,Alcidae,Charadriiformes,AVIBASE-044509DA,5.0,2.0,3.0,0.0,4.0,15.0,5.7,5.0,6.4,19.0,94.4,37.7,55.6,40.4,27.0,84.0,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic
7,Parakeet_Auklet,Parakeet Auklet,Aethia psittacula,eBird common-name exact match after punctuation and possessive normalization,True,Aethia psittacula,Alcidae,Charadriiformes,AVIBASE-2B46719D,4.0,2.0,2.0,0.0,4.0,20.1,8.8,6.2,12.6,29.4,146.2,60.2,86.1,41.1,39.0,270.0,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic
8,Rhinoceros_Auklet,Rhinoceros Auklet,Cerorhinca monocerata,eBird common-name exact match after punctuation and possessive normalization,True,Cerorhinca monocerata,Alcidae,Charadriiformes,AVIBASE-53D94597,4.0,2.0,2.0,0.0,4.0,48.5,25.5,8.5,17.6,29.4,178.8,92.9,85.8,52.0,51.2,482.2,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic
9,Brewer_Blackbird,Brewer Blackbird,Euphagus cyanocephalus,eBird common-name exact match after punctuation and possessive normalization,True,Euphagus cyanocephalus,Icteridae,Passeriformes,AVIBASE-EA5E858A,5.0,2.0,3.0,0.0,4.0,22.6,14.4,5.8,7.5,31.0,126.4,39.1,86.2,31.2,100.6,62.5,Dunning,,NO,,,Human Modified,3.0,2.0,Carnivore,Omnivore,Terrestrial
10,Red_winged_Blackbird,Red winged Blackbird,Agelaius phoeniceus,eBird common-name exact match after punctuation and possessive normalization,True,Agelaius phoeniceus,Icteridae,Passeriformes,AVIBASE-C86D078E,7.0,2.0,5.0,0.0,6.0,22.7,15.4,5.6,8.8,28.0,118.0,27.8,88.9,24.0,88.9,50.8,Dunning,,NO,,,Wetland,3.0,3.0,Herbivore,Granivore,Generalist
11,Rusty_Blackbird,Rusty Blackbird,Euphagus carolinus,eBird common-name exact match after punctuation and possessive normalization,True,Euphagus carolinus,Icteridae,Passeriformes,AVIBASE-5F77FED5,9.0,4.0,5.0,0.0,4.0,23.0,15.3,5.0,6.6,30.2,114.4,32.1,82.6,28.0,90.0,59.6,Dunning,,NO,,,Forest,2.0,3.0,Omnivore,Omnivore,Terrestrial
12,Yellow_headed_Blackbird,Yellow headed Blackbird,Xanthocephalus xanthocephalus,eBird common-name exact match after punctuation and possessive normalization,True,Xanthocephalus xanthocephalus,Icteridae,Passeriformes,AVIBASE-3E2D0C9B,5.0,2.0,3.0,0.0,4.0,22.5,14.6,6.6,9.1,32.9,129.4,34.2,92.6,27.0,101.9,62.7,Dunning,,NO,,,Wetland,2.0,2.0,Herbivore,Granivore,Terrestrial
13,Bobolink,Bobolink,Dolichonyx oryzivorus,eBird common-name exact match after punctuation and possessive normalization,True,Dolichonyx oryzivorus,Icteridae,Passeriformes,AVIBASE-F845062F,5.0,2.0,3.0,0.0,4.0,16.2,9.8,5.9,7.6,26.5,90.2,32.0,58.5,35.4,61.8,31.5,Dunning,,NO,,,Grassland,1.0,3.0,Omnivore,Granivore,Generalist
14,Indigo_Bunting,Indigo Bunting,Passerina cyanea,eBird common-name exact match after punctuation and possessive normalization,True,Passerina cyanea,Cardinalidae,Passeriformes,AVIBASE-043F337A,31.0,15.0,16.0,0.0,15.0,11.7,7.6,5.1,6.2,17.2,64.8,14.7,50.3,22.5,48.9,14.7,Dunning,,NO,,,Shrubland,2.0,3.0,Herbivore,Granivore,Terrestrial
15,Lazuli_Bunting,Lazuli Bunting,Passerina amoena,eBird common-name exact match after punctuation and possessive normalization,True,Passerina amoena,Cardinalidae,Passeriformes,AVIBASE-9F67F3AF,18.0,7.0,11.0,0.0,11.0,11.8,7.3,4.8,6.1,16.8,70.4,16.5,53.9,23.4,54.2,15.5,Dunning,,NO,,,Shrubland,2.0,3.0,Herbivore,Omnivore,Insessorial
16,Painted_Bunting,Painted Bunting,Passerina ciris,eBird common-name exact match after punctuation and possessive normalization,True,Passerina ciris,Cardinalidae,Passeriformes,AVIBASE-0BDB87DE,23.0,10.0,12.0,1.0,8.0,11.7,7.6,4.9,6.5,18.8,69.6,15.0,54.1,21.6,52.4,15.5,Dunning,,NO,,,Shrubland,2.0,3.0,Herbivore,Granivore,Terrestrial
17,Cardinal,Cardinal,Cardinalis cardinalis,Northern Cardinal; abbreviated common label,True,Cardinalis cardinalis,Cardinalidae,Passeriformes,AVIBASE-4E74AE22,64.0,24.0,40.0,0.0,8.0,17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.6,Dunning,,NO,,,Shrubland,2.0,1.0,Herbivore,Omnivore,Insessorial
18,Spotted_Catbird,Spotted Catbird,Ailuroedus maculosus,eBird common-name exact match after punctuation and possessive normalization,True,Ailuroedus maculosus,Ptilonorhynchidae,Passeriformes,AVIBASE-128E6559,0.0,0.0,0.0,0.0,0.0,33.7,18.1,9.6,14.4,48.6,155.8,31.9,132.6,19.4,113.7,205.3,Inferred,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length; Body Mass,Ailuroedus crassirostris,Forest,1.0,1.0,Herbivore,Omnivore,Insessorial
19,Gray_Catbird,Gray Catbird,Dumetella carolinensis,eBird common-name exact match after punctuation and possessive normalization,True,Dumetella carolinensis,Mimidae,Passeriformes,AVIBASE-95B77F08,16.0,5.0,5.0,6.0,7.0,19.2,11.1,4.0,4.8,27.4,90.7,16.8,73.4,18.6,90.3,35.3,Dunning,,NO,,,Shrubland,1.0,3.0,Omnivore,Invertivore,Insessorial
20,Yellow_breasted_Chat,Yellow breasted Chat,Icteria virens,eBird common-name exact match after punctuation and possessive normalization,True,Icteria virens,Icteriidae,Passeriformes,AVIBASE-734C73A9,13.0,7.0,5.0,1.0,5.0,16.3,10.5,4.8,6.3,26.1,76.5,16.3,60.5,21.3,71.8,24.9,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial
21,Eastern_Towhee,Eastern Towhee,Pipilo erythrophthalmus,eBird common-name exact match after punctuation and possessive normalization,True,Pipilo erythrophthalmus,Passerellidae,Passeriformes,AVIBASE-6090278A,13.0,6.0,7.0,0.0,8.0,15.4,9.8,5.5,8.2,27.0,82.3,11.1,70.8,13.6,91.7,40.0,Dunning,,NO,,,Forest,2.0,2.0,Herbivore,Omnivore,Generalist
22,Chuck_will_Widow,Chuck will Widow,Antrostomus carolinensis,eBird common-name exact match after punctuation and possessive normalization,True,Antrostomus carolinensis,Caprimulgidae,Caprimulgiformes,AVIBASE-8D3E8871,6.0,1.0,4.0,1.0,4.0,15.2,7.5,6.2,4.0,17.5,207.7,106.2,100.1,51.5,141.1,109.0,Dunning,,NO,,,Woodland,2.0,3.0,Carnivore,Invertivore,Aerial
23,Brandt_Cormorant,Brandt Cormorant,Urile penicillatus,eBird common-name exact match after punctuation and possessive normalization,True,Urile penicillatus,Phalacrocoracidae,Suliformes,AVIBASE-987A703D,5.0,1.0,4.0,0.0,4.0,76.5,60.1,12.7,17.8,65.5,280.6,103.2,174.5,37.1,115.4,2224.2,Dunning,,NO,,,Marine,3.0,2.0,Carnivore,Aquatic predator,Aquatic
24,Red_faced_Cormorant,Red faced Cormorant,Urile urile,eBird common-name exact match after punctuation and possessive normalization,True,Urile urile,Phalacrocoracidae,Suliformes,AVIBASE-05DDE8C1,5.0,2.0,1.0,2.0,4.0,55.5,42.4,9.2,11.6,56.2,270.4,84.7,186.1,31.3,154.2,2117.7,Dunning,,NO,,,Marine,3.0,1.0,Carnivore,Aquatic predator,Aquatic
25,Pelagic_Cormorant,Pelagic Cormorant,Urile pelagicus,eBird common-name exact match after punctuation and possessive normalization,True,Urile pelagicus,Phalacrocoracidae,Suliformes,AVIBASE-A429B5B8,5.0,1.0,2.0,2.0,4.0,51.9,38.8,8.4,10.0,53.6,254.4,87.0,171.3,33.6,137.4,1844.0,Dunning,,NO,,,Marine,3.0,1.0,Carnivore,Aquatic predator,Aquatic
26,Bronzed_Cowbird,Bronzed Cowbird,Molothrus aeneus,eBird common-name exact match after punctuation and possessive normalization,True,Molothrus aeneus,Icteridae,Passeriformes,AVIBASE-D8310D39,13.0,6.0,7.0,0.0,7.0,20.6,13.9,5.7,9.1,27.6,104.8,25.4,76.4,24.9,74.8,62.6,Dunning,,NO,,,Forest,2.0,1.0,Omnivore,Granivore,Terrestrial
27,Shiny_Cowbird,Shiny Cowbird,Molothrus bonariensis,eBird common-name exact match after punctuation and possessive normalization,True,Molothrus bonariensis,Icteridae,Passeriformes,AVIBASE-AA779804,25.0,10.0,14.0,1.0,4.0,19.7,12.5,6.5,8.3,25.5,109.9,29.5,78.2,27.3,82.7,41.5,Dunning,,NO,,,Woodland,2.0,1.0,Omnivore,Invertivore,Terrestrial
28,Brown_Creeper,Brown Creeper,Certhia americana,eBird common-name exact match after punctuation and possessive normalization,True,Certhia americana,Certhiidae,Passeriformes,AVIBASE-BAC33609,6.0,3.0,3.0,0.0,4.0,16.2,9.6,2.0,2.8,14.2,63.6,15.3,48.2,24.1,63.3,8.1,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial
29,American_Crow,American Crow,Corvus brachyrhynchos,eBird common-name exact match after punctuation and possessive normalization,True,Corvus brachyrhynchos,Corvidae,Passeriformes,AVIBASE-69544B59,26.0,8.0,17.0,1.0,8.0,49.9,33.2,13.9,16.6,55.0,293.5,106.9,186.2,36.5,167.1,448.8,Dunning,,NO,,,Human Modified,2.0,2.0,Omnivore,Omnivore,Terrestrial
30,Fish_Crow,Fish Crow,Corvus ossifragus,eBird common-name exact match after punctuation and possessive normalization,True,Corvus ossifragus,Corvidae,Passeriformes,AVIBASE-43E56D2C,13.0,4.0,9.0,0.0,4.0,43.3,27.2,13.8,14.8,47.1,276.7,100.6,176.2,36.3,157.1,284.6,Dunning,,NO,,,Coastal,3.0,1.0,Omnivore,Omnivore,Terrestrial
31,Black_billed_Cuckoo,Black billed Cuckoo,Coccyzus erythropthalmus,eBird common-name exact match after punctuation and possessive normalization,True,Coccyzus erythropthalmus,Cuculidae,Cuculiformes,AVIBASE-41E9F54B,5.0,2.0,3.0,0.0,4.0,27.0,17.0,5.7,6.6,22.9,136.9,55.3,80.3,40.8,143.4,50.9,Dunning,,NO,,,Forest,1.0,3.0,Carnivore,Invertivore,Insessorial
32,Mangrove_Cuckoo,Mangrove Cuckoo,Coccyzus minor,eBird common-name exact match after punctuation and possessive normalization,True,Coccyzus minor,Cuculidae,Cuculiformes,AVIBASE-84F096F7,13.0,6.0,5.0,2.0,8.0,31.3,20.6,6.8,9.1,28.1,135.0,43.0,92.5,31.7,155.3,63.9,Dunning,,NO,,,Woodland,2.0,2.0,Carnivore,Invertivore,Insessorial
33,Yellow_billed_Cuckoo,Yellow billed Cuckoo,Coccyzus americanus,eBird common-name exact match after punctuation and possessive normalization,True,Coccyzus americanus,Cuculidae,Cuculiformes,AVIBASE-0CF12F81,12.0,3.0,7.0,2.0,4.0,29.2,20.0,7.0,8.2,24.5,143.4,62.4,82.6,43.0,146.3,64.0,Dunning,,NO,,,Forest,1.0,3.0,Carnivore,Invertivore,Insessorial
34,Gray_crowned_Rosy_Finch,Gray crowned Rosy Finch,Leucosticte tephrocotis,eBird common-name exact match after punctuation and possessive normalization,True,Leucosticte tephrocotis,Fringillidae,Passeriformes,AVIBASE-029491CD,5.0,1.0,4.0,0.0,4.0,12.9,9.9,6.4,8.1,19.6,105.5,38.6,66.2,36.9,69.8,37.8,Dunning,,NO,,,Grassland,3.0,3.0,Herbivore,Omnivore,Terrestrial
35,Purple_Finch,Purple Finch,Haemorhous purpureus,eBird common-name exact match after punctuation and possessive normalization,True,Haemorhous purpureus,Fringillidae,Passeriformes,AVIBASE-B4EE123D,8.0,3.0,5.0,0.0,4.0,12.2,9.1,7.5,9.0,16.6,81.1,22.8,58.2,28.1,59.5,23.3,Dunning,,NO,,,Forest,2.0,2.0,Herbivore,Omnivore,Insessorial
36,Northern_Flicker,Northern Flicker,Colaptes auratus,eBird common-name exact match after punctuation and possessive normalization,True,Colaptes auratus,Picidae,Piciformes,AVIBASE-75600969,30.0,15.0,15.0,0.0,24.0,40.2,29.4,8.5,7.9,28.7,156.9,38.3,119.2,24.3,109.5,131.5,Dunning,,NO,,,Shrubland,2.0,2.0,Carnivore,Invertivore,Generalist
37,Acadian_Flycatcher,Acadian Flycatcher,Empidonax virescens,eBird common-name exact match after punctuation and possessive normalization,True,Empidonax virescens,Tyrannidae,Passeriformes,AVIBASE-2778A3F4,48.0,5.0,8.0,35.0,5.0,13.3,9.1,6.1,4.0,17.1,71.0,19.9,52.1,27.5,58.8,12.6,Dunning,,NO,,,Forest,2.0,3.0,Carnivore,Invertivore,Insessorial
38,Great_Crested_Flycatcher,Great Crested Flycatcher,Myiarchus crinitus,eBird common-name exact match after punctuation and possessive normalization,True,Myiarchus crinitus,Tyrannidae,Passeriformes,AVIBASE-8D6D5F2B,18.0,4.0,6.0,8.0,4.0,22.7,15.5,8.5,6.9,21.8,98.8,21.6,79.4,21.4,88.1,32.1,Dunning,,NO,,,Woodland,1.0,3.0,Omnivore,Invertivore,Insessorial
39,Least_Flycatcher,Least Flycatcher,Empidonax minimus,eBird common-name exact match after punctuation and possessive normalization,True,Empidonax minimus,Tyrannidae,Passeriformes,AVIBASE-F5837054,18.0,2.0,3.0,13.0,4.0,12.4,7.6,5.4,3.5,15.9,61.1,14.2,47.9,22.8,50.8,10.0,Dunning,,NO,,,Forest,1.0,3.0,Carnivore,Invertivore,Insessorial
